"";"p_sr";"p_mr";"p_pr"
"1";10697,7504385512;11814,7417917541;11890,2095133676
"2";5522,63890646528;7725,41895878017;5097,59209750576
"3";9419,1934718006;10807,2980618494;10363,7300111292
"4";6212,65377741008;8306,86679812767;5834,05032766731
"5";8404,46572041119;9999,42708338678;8903,34074738083
"6";4792,03492546491;7166,53655200307;4537,29925571242
"7";6090,88644724335;8186,09703665567;5691,84068645053
"8";4304,965604798;6753,57756482121;4319,22964784651
"9";4832,62403552049;7171,17671447041;4561,47786042825
"10";5339,98791121519;7621,94082546224;4934,03535419824
"11";6415,59932768796;8441,22400177981;6081,16739122063
"12";5786,46812182653;7962,11110251726;5358,36989567423
"13";4061,43094446454;6578,74849729531;4263,73490610746
"14";6720,01765310478;8665,55974846504;6472,93745677733
"15";5684,99534668759;7843,77223858858;5254,79099024714
"16";5177,63147099289;5838,91302341867;4801,22120685252
"17";5360,28246624298;7550,35609336505;4951,48491372405
"18";4325,26015982579;4752,37767853403;4325,53172086874
"19";4447,02748999252;4691,15203252333;4368,58672417943
"20";4447,02748999252;5020,90409845007;4368,58672417943
"21";5827,05723188211;6034,12793764125;5400,90276945382
"22";4487,61660004809;4870,49281665949;4384,90360419091
"23";4426,73293496473;4772,98421845866;4360,7934327767
"24";5482,04979640971;7538,54784732065;5059,99882430757
"25";4873,21314557607;7202,925122578;4586,53077781102
"26";6537,36665785469;8552,15435097773;6235,02954640275
"27";4447,02748999252;4706,49047245702;4368,58672417943
"28";4223,78738468685;4558,79629391562;4296,56663618512
"29";4406,43837993694;4647,38454102364;4353,2453490785
"30";4568,79482015924;4294,40448991306;4420,42127168504
"31";4629,67848524261;4864,68549862814;4449,5409998209
"32";4893,50770060385;5023,67263495338;4599,38177506029
"33";4731,15126038155;5009,17134417063;4502,69398573477
"34";4954,39136568722;4745,64351745494;4639,21694331695
"35";4203,49282965906;4506,49011949732;4291,5438607611
"36";4284,67104977021;4605,86133373818;4313,18077139014
"37";4690,56215032597;4891,01785465016;4480,74776437745
"38";4061,43094446454;3893,94539715902;4263,73490610746
"39";5157,3369159651;5191,95205631961;4785,48720169523
"40";4162,90371960348;4395,90225994863;4282,27920324088
"41";11387,765309496;10095,9289433233;12461,1534723795
"42";4264,37649474242;4484,4510268378;4307,38642297653
"43";4081,72549949233;4384,52868142375;4266,91074286463
"44";4406,43837993694;4593,3910241394;4353,2453490785
"45";4649,9730402704;4844,26538260509;4459,71313703997
"46";5928,53000702105;5956,74302127745;5509,89502954239
"47";5137,04236093731;7363,37053935201;4769,95047107446
"48";4264,37649474242;4496,6761619328;4307,38642297653
"49";4304,965604798;4850,53542804135;4319,22964784651
"50";4568,79482015924;4807,38619606232;4420,42127168504
"51";5928,53000702105;7986,04149421426;5509,89502954239
"52";5989,41367210441;5398,79092120005;5577,06117838711
"53";4426,73293496473;4654,66667429476;4360,7934327767
"54";5827,05723188211;5776,04480521376;5400,90276945382
"55";4345,55471485358;4590,69227597211;4332,08565897994
"56";5319,6933561874;7472,67776464215;4916,77108591694
"57";4771,74037043713;4919,05225814974;4525,54114929684
"58";6720,01765310478;6901,77976958479;6472,93745677733
"59";4467,3220450203;4572,76487008963;4376,62389180979
"60";4000,54727938118;4328,14614062232;4255,82776747473
"61";4102,02005452012;4399,61808403931;4270,35442243344
"62";4122,31460954791;4320,53631634318;4274,06461333702
"63";4406,43837993694;4700,21753334571;4353,2453490785
"64";4792,03492546491;4939,9634319917;4537,29925571242
"65";4792,03492546491;4869,83710976556;4537,29925571242
"66";3980,25272435339;4107,88124442842;4253,73661673304
"67";5461,75524138192;7595,43282039544;5041,46547832945
"68";5806,76267685432;8533,21215753794;5379,558998926
"69";4264,37649474242;4465,43214932496;4307,38642297653
"70";4406,43837993694;4634,58857126937;4353,2453490785
"71";4710,85670535376;4932,61859054008;4491,60759154207
"72";5400,87157629856;5414,60909957232;4986,9345806016
"73";4589,08937518703;4771,37067730498;4429,89373566655
"74";4223,78738468685;4339,18793304942;4296,56663618512
"75";5157,3369159651;5271,13078354028;4785,48720169523
"76";4974,68592071501;5221,85249595213;4652,91828664915
"77";4649,9730402704;4808,78659672361;4459,71313703997
"78";4873,21314557607;4953,44305520552;4586,53077781102
"79";4304,965604798;6705,63417374054;4319,22964784651
"80";9013,30237124484;8189,75499282217;9794,95465048853
"81";4142,6091645757;4370,11281047239;4278,03998409846
"82";4771,74037043713;4889,24593497771;4525,54114929684
"83";11854,5400751352;10573,3182194661;12711,9495195433
"84";4386,14382490915;4378,89474099845;4345,94380456171
"85";4507,91115507588;4509,0516172728;4393,42452984588
"86";3838,19083915887;4953,41999573586;4246,8591297377
"87";4609,38393021482;4838,75222438325;4439,60075553746
"88";5258,80969110404;5241,05000139557;4866,10334330892
"89";11042,7578740236;9904,90707347795;12202,9708614017
"90";5055,86414082616;5113,79199830277;4709,80292349418
"91";4507,91115507588;4681,68072461679;4393,42452984588
"92";4162,90371960348;4317,37500298205;4282,27920324088
"93";4122,31460954791;4362,69061612939;4274,06461333702
"94";4020,84183440897;6052,15622078916;4258,19208693562
"95";4345,55471485358;4552,01135120796;4332,08565897994
"96";4670,26759529819;4337,16208703046;4470,11583571778
"97";4365,84926988136;5714,93406097589;4338,89013070323
"98";4020,84183440897;4323,41258115154;4258,19208693562
"99";4913,80225563164;4471,10559301022;4612,44735604563
"100";4609,38393021482;4258,27014854055;4439,60075553746
"101";3980,25272435339;4131,57053912126;4253,73661673304
"102";4183,19827463127;6453,58281380177;4286,78093928739
"103";4000,54727938118;4095,50451665405;4255,82776747473
"104";4528,20571010367;4711,14136920065;4402,18533729782
"105";11529,8271946906;10147,1057435402;12550,0717078225
"106";5319,6933561874;4840,61186878625;4916,77108591694
"107";5238,51513607625;5272,19029158665;4849,59355477451
"108";4284,67104977021;4405,31641756111;4313,18077139014
"109";4406,43837993694;4769,17810511788;4353,2453490785
"110";4345,55471485358;4456,75252847983;4332,08565897994
"111";4386,14382490915;4585,04567951022;4345,94380456171
"112";4913,80225563164;4901,16180028239;4612,44735604563
"113";4731,15126038155;4937,85691604237;4502,69398573477
"114";4771,74037043713;5017,56022480654;4525,54114929684
"115";4365,84926988136;4530,08052701742;4338,89013070323
"116";4365,84926988136;4714,60429017236;4338,89013070323
"117";4609,38393021482;5017,44994156812;4439,60075553746
"118";3939,66361429781;4179,89480677687;4250,37914731484
"119";4183,19827463127;4435,1724381558;4286,78093928739
"120";4751,44581540934;4805,45672055064;4514,00561547866
"121";5015,27503077058;4942,29243703008;4680,94741532221
"122";4244,08193971464;4523,04462608352;4301,84793408256
"123";4325,26015982579;4044,42065671464;4325,53172086874
"124";5563,22801652086;5538,58511965294;5135,87860251393
"125";4081,72549949233;4257,58530001917;4266,91074286463
"126";4102,02005452012;4419,52790970978;4270,35442243344
"127";4000,54727938118;4186,77586258946;4255,82776747473
"128";4223,78738468685;4418,95081927129;4296,56663618512
"129";4061,43094446454;4270,4018913991;4263,73490610746
"130";3939,66361429781;4258,62055938704;4250,37914731484
"131";5157,3369159651;4948,56729839082;4785,48720169523
"132";4325,26015982579;4480,85174357874;4325,53172086874
"133";4386,14382490915;4305,49701648887;4345,94380456171
"134";4710,85670535376;4342,66529703222;4491,60759154207
"135";4264,37649474242;4388,87262063738;4307,38642297653
"136";4264,37649474242;4544,64583582716;4307,38642297653
"137";4000,54727938118;6368,18792466324;4255,82776747473
"138";4670,26759529819;4296,37876339369;4470,11583571778
"139";4447,02748999252;4527,41775540275;4368,58672417943
"140";4629,67848524261;4683,30544846148;4449,5409998209
"141";4812,3294804927;4911,48539837683;4549,27860324852
"142";4264,37649474242;4303,82653310363;4307,38642297653
"143";4345,55471485358;4766,47757186424;4332,08565897994
"144";4751,44581540934;4877,11421568815;4514,00561547866
"145";4061,43094446454;4286,20445528479;4263,73490610746
"146";4467,3220450203;4579,62075309307;4376,62389180979
"147";4304,965604798;4426,38965306942;4319,22964784651
"148";4264,37649474242;3913,96201195996;4307,38642297653
"149";4162,90371960348;3949,71203322545;4282,27920324088
"150";4447,02748999252;4660,0367029423;4368,58672417943
"151";4183,19827463127;4029,16188494844;4286,78093928739
"152";4162,90371960348;4119,38924674315;4282,27920324088
"153";4426,73293496473;4456,80139255145;4360,7934327767
"154";4081,72549949233;4138,44775597044;4266,91074286463
"155";5684,99534668759;5511,16787089061;5254,79099024714
"156";4223,78738468685;4372,73963455776;4296,56663618512
"157";5482,04979640971;5383,06897729328;5059,99882430757
"158";4061,43094446454;3953,52963853459;4263,73490610746
"159";4365,84926988136;4411,97690364027;4338,89013070323
"160";4264,37649474242;4427,19243706319;4307,38642297653
"161";3959,9581693256;4276,55631161256;4251,91996618745
"162";3939,66361429781;4223,37807700152;4250,37914731484
"163";4162,90371960348;4414,62179137762;4282,27920324088
"164";4183,19827463127;4372,86148610312;4286,78093928739
"165";4751,44581540934;4884,56775493045;4514,00561547866
"166";4061,43094446454;4281,34803299635;4263,73490610746
"167";4102,02005452012;4054,71584348669;4270,35442243344
"168";4041,13638943675;3936,48826540537;4260,82824363882
"169";4548,50026513146;4524,58379998993;4411,18469506983
