"";"is_paid";"num_subscribers";"rating";"num_published_lectures";"discount_price__amount";"price_detail__amount"
"1";TRUE;31160,6073358524;4,67874;84;455;8640
"2";TRUE;31160,6073358524;4,60015;78;455;8640
"3";TRUE;31160,6073358524;4,59326;292;455;8640
"6";TRUE;31160,6073358524;4,57676;275;455;8640
"7";TRUE;31160,6073358524;4,29118;23;455;8640
"9";TRUE;31160,6073358524;4,5008;144;455;8640
"10";TRUE;31160,6073358524;4,49575;413;455;8640
"12";TRUE;31160,6073358524;4,49034;67;455;8640
"13";TRUE;31160,6073358524;4,59302;43;455;5760
"14";TRUE;31160,6073358524;4,54203;41;455;8640
"15";TRUE;31160,6073358524;4,57067;286;455;8640
"17";TRUE;31160,6073358524;4,52998;101;455;8640
"18";TRUE;31160,6073358524;4,48929;160;455;8640
"19";TRUE;31160,6073358524;4,59604;103;455;8640
"22";TRUE;31160,6073358524;4,5554;57;455;8640
"23";TRUE;31160,6073358524;4,46916;61;500;9280
"25";TRUE;31160,6073358524;4,42199;44;455;4800
"26";TRUE;31160,6073358524;4,63196;88;455;8640
"27";TRUE;31160,6073358524;4,56591;78;455;8640
"28";TRUE;31160,6073358524;4,40429;88;455;8640
"29";TRUE;31160,6073358524;4,33968;39;455;8640
"30";TRUE;31160,6073358524;4,58325;31;455;6720
"33";TRUE;31160,6073358524;4,49998;124;455;2560
"34";TRUE;27681;4,48064;14;0;2240
"35";TRUE;31160,6073358524;4,39496;29;455;1920
"36";TRUE;31160,6073358524;4,44446;206;540;10240
"37";TRUE;29061;4,56584;284;455;8640
"38";TRUE;28937;4,39681;23;455;8640
"39";TRUE;31160,6073358524;4,45238;44;455;8640
"40";TRUE;20978;4,45477;21;0;3200
"41";TRUE;31160,6073358524;4,45212;19;0;2240
"42";TRUE;31160,6073358524;4,41373;86;455;8640
"43";TRUE;31160,6073358524;4,33177;600;546;10240
"44";TRUE;31160,6073358524;4,50644;16;533;2240
"45";TRUE;31160,6073358524;4,59197;97;455;8640
"46";TRUE;31160,6073358524;4,46243;15;455;2560
"47";TRUE;16511;4,55482;19;455;1280
"48";TRUE;31160,6073358524;4,43577;152;481;8960
"49";TRUE;21305;4,38864;38;455;8640
"50";TRUE;31160,6073358524;4,53498;186;455;8640
"51";TRUE;31160,6073358524;4,43587;305;455;8640
"52";TRUE;29095;4,42281;87;488;9280
"53";TRUE;31160,6073358524;4,48307;35;455;1920
"54";TRUE;31160,6073358524;4,36866;88;455;8640
"55";TRUE;22106;4,40904;38;455;8640
"56";TRUE;25057;4,55885;222;455;8640
"57";TRUE;22558;4,54419;68;455;8640
"58";TRUE;28717;4,4567;68;455;8640
